sentence,audio,id
В Звенигороде.,2019-Zvenigorod-ea1976-23350-24808.wav,1
"В Игнатьево, да.",2019-Zvenigorod-ea1976-72740-74743.wav,2
"В каком -то общежитии, как она рассказывала, как они шли через грязь.",2019-Zvenigorod-ea1976-426880-431731.wav,3
"В деревню, они шли, представляешь, за лошадью, прятались за телегой.",2019-Zvenigorod-ea1976-431731-435964.wav,4
В нём была= был госпиталь.,2019-Zvenigorod-ea1976-589552-593123.wav,5
"В сорок пятой больнице, она вот, получается, здесь.",2019-Zvenigorod-ea1976-880363-884256.wav,6
В котельне оператором.,2019-Zvenigorod-ea1976-906131-908777.wav,7
В турбазе.,2019-Zvenigorod-ea1976-908777-910011.wav,8
"В общем, она опять работает.",2019-Zvenigorod-ea1976-918311-920981.wav,9
"В колледже я училась, а потом там же была база вечернего института.",2019-Zvenigorod-ea1976-1376240-1381911.wav,10
"В город въехать, из города выехать, и ещё там на Риге, считай, ну там уже на въезде, на МКАДе.",2019-Zvenigorod-ea1976-1469729-1476185.wav,11
"В 'Звезду', да.",2019-Zvenigorod-ea1976-1554014-1555699.wav,12
В этот раз ей же двадцать лет было четвёртого мая.,2019-Zvenigorod-ea1976-1678655-1682242.wav,13
В Супонево.,2019-Zvenigorod-ea1976-1891584-1893037.wav,14
В Супонево мы дом построили.,2019-Zvenigorod-ea1976-1893037-1894922.wav,15
"В Игнатьево вот, ф= там вот...",2019-Zvenigorod-ea1976-2043579-2046255.wav,16
В ПТП у нас там.,2019-Zvenigorod-ea1976-2046255-2050299.wav,17
"В общем, он был просто, говорит, ам= а мне так не досталось.",2019-Zvenigorod-ea1976-2196813-2200954.wav,18
"В контакте, я могу подойти к ним научиться, посмотреть там, чем они занимаются, я...",2019-Zvenigorod-ea1976-2704954-2710306.wav,19
В конце концов.,2019-Zvenigorod-ea1976-2936728-2938163.wav,20
В Дютьково.,2019-Zvenigorod-ea1976-3101141-3102035.wav,21
"В общем, она обычно Наташку там Орлову просит проверить, а тут она меня.",2019-Zvenigorod-ea1976-3419647-3423683.wav,22
"В это время, с течения, постоянно вспоминаю своих родителей.",2019-Zvenigorod-li1950-45670-49640.wav,23
В первую очередь.,2019-Zvenigorod-li1950-56260-58060.wav,24
"В общем, от мала до велика.",2019-Zvenigorod-li1950-247415-250550.wav,25
"В общем, вся еда наша была лесная.",2019-Zvenigorod-li1950-266390-270780.wav,26
"В девяностом году мы сошлись с Володей,",2019-Zvenigorod-li1950-464190-468105.wav,27
"В смысле не еду, а просфоры пекла.",2019-Zvenigorod-li1950-698610-701330.wav,28
В основном о губернаторе.,2019-Zvenigorod-li1950-2367540-2373990.wav,29
В этом году приходит мне...,2019-Zvenigorod-li1950-2397860-2404510.wav,30
"В налоговую все туда едут, еще и с больницами что будет - неизвестно, да?",2019-Zvenigorod-li1950-2597400-2602440.wav,31
